,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
84,A1,112,0,2023-10-21 13:40:00+00,2023,10,Saturday ,13,WASHINGTON ST,42.35512291409929,-71.06088025712486,"(42.35512291409929, -71.06088025712486)"
194,D4,143,0,2024-01-09 18:20:00+00,2024,1,Tuesday  ,18,"BLAGDEN ST & EXETER ST
BOSTON  MA 02116
UNITED STA",42.348688514798994,-71.07909451313395,"(42.348688514798994, -71.07909451313395)"
234,C6,186,0,2023-09-02 13:15:00+00,2023,9,Saturday ,13,ALLSTATE RD,42.326965998839725,-71.06198658978266,"(42.326965998839725, -71.06198658978266)"
484,D4,143,0,2024-08-16 16:51:00+00,2024,8,Friday   ,16,BOYLSTON ST,42.34932426228881,-71.08014852728094,"(42.34932426228881, -71.08014852728094)"
522,D4,134,0,2024-05-15 16:30:00+00,2024,5,Wednesday,16,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
539,D4,628,0,2024-09-27 13:21:00+00,2024,9,Friday   ,13,PARK DR,42.3441665899355,-71.10359165150426,"(42.3441665899355, -71.10359165150426)"
541,D4,,0,2023-05-02 19:51:00+00,2023,5,Tuesday  ,19,NEWBURY STREET,,,
576,D4,143,0,2023-10-08 14:25:00+00,2023,10,Sunday   ,14,RING ROAD,,,
587,B2,311,0,2024-09-29 20:33:00+00,2024,9,Sunday   ,20,WARREN ST,42.316966055161714,-71.08254116899847,"(42.316966055161714, -71.08254116899847)"
635,E5,550,0,2024-08-04 20:58:00+00,2024,8,Sunday   ,20,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
649,D14,796,0,2024-08-01 21:09:00+00,2024,8,Thursday ,21,HARVARD AVE,42.35085332729481,-71.13125809815298,"(42.35085332729481, -71.13125809815298)"
674,A1,105,0,2024-08-01 03:43:00+00,2024,8,Thursday ,3,SUMMER ST,42.354500911806085,-71.05916819923317,"(42.354500911806085, -71.05916819923317)"
741,C6,186,0,2023-10-05 09:10:00+00,2023,10,Thursday ,9,ALLSTATE RD,42.330155992175214,-71.06298655802257,"(42.330155992175214, -71.06298655802257)"
747,A1,112,0,2024-02-05 17:06:00+00,2024,2,Monday   ,17,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
749,A1,112,0,2024-02-06 16:00:00+00,2024,2,Tuesday  ,16,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
807,D4,142,0,2024-07-11 10:00:00+00,2024,7,Thursday ,10,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
817,C6,186,0,2023-12-22 17:42:00+00,2023,12,Friday   ,17,ALLSTATE ROAD,,,
822,E5,550,0,2023-11-01 15:12:00+00,2023,11,Wednesday,15,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
834,C6,200,0,2024-02-04 07:25:00+00,2024,2,Sunday   ,7,W BROADWAY,42.34128702104515,-71.05467980204799,"(42.34128702104515, -71.05467980204799)"
862,D4,,0,2023-07-19 18:37:00+00,2023,7,Wednesday,18,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
863,C11,452,0,2023-12-19 10:36:00+00,2023,12,Tuesday  ,10,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
873,C6,186,0,2023-12-20 08:41:00+00,2023,12,Wednesday,8,ALLSTATE RD,42.328099189441325,-71.0632172846628,"(42.328099189441325, -71.0632172846628)"
874,A1,112,0,2023-12-20 17:38:00+00,2023,12,Wednesday,17,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
900,D4,,0,2023-07-20 15:08:00+00,2023,7,Thursday ,15,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
920,D4,,0,2023-06-02 17:59:00+00,2023,6,Friday   ,17,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
927,D4,146,0,2024-06-08 16:11:00+00,2024,6,Saturday ,16,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
986,C6,186,0,2024-06-08 16:07:00+00,2024,6,Saturday ,16,DISTRICT AVE,,,
1090,E13,304,0,2024-06-08 10:35:00+00,2024,6,Saturday ,10,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
1112,D4,146,0,2023-06-02 12:59:00+00,2023,6,Friday   ,12,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
1150,D4,146,0,2023-05-30 17:35:00+00,2023,5,Tuesday  ,17,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
1168,D4,,0,2023-06-02 21:32:00+00,2023,6,Friday   ,21,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
1169,D4,,0,2023-06-02 12:24:00+00,2023,6,Friday   ,12,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
1217,D4,,0,2023-06-03 21:20:00+00,2023,6,Saturday ,21,BROOKLINE AVE,42.34410675451626,-71.10180317438528,"(42.34410675451626, -71.10180317438528)"
1220,E13,304,0,2023-06-03 08:12:00+00,2023,6,Saturday ,8,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
1271,B3,,0,2023-06-11 17:59:00+00,2023,6,Sunday   ,17,RIVER ST,42.27222762298229,-71.07006215464861,"(42.27222762298229, -71.07006215464861)"
1274,D14,796,0,2023-06-11 17:13:00+00,2023,6,Sunday   ,17,HARVARD AVE,42.34966712874339,-71.13048740468365,"(42.34966712874339, -71.13048740468365)"
1289,A1,112,0,2023-06-10 00:00:00+00,2023,6,Saturday ,0,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
1348,D4,141,0,2023-10-23 12:55:00+00,2023,10,Monday   ,12,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
1358,D4,146,0,2024-02-19 13:08:00+00,2024,2,Monday   ,13,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
1408,A1,112,0,2024-02-28 14:00:00+00,2024,2,Wednesday,14,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
1426,C6,200,0,2024-05-30 15:15:00+00,2024,5,Thursday ,15,W BROADWAY,42.34128702104515,-71.05467980204799,"(42.34128702104515, -71.05467980204799)"
1445,C6,177,0,2024-07-26 15:19:00+00,2024,7,Friday   ,15,SOUTHAMPTON ST,42.33210796742226,-71.07014447893526,"(42.33210796742226, -71.07014447893526)"
1452,D4,134,0,2024-07-31 13:52:00+00,2024,7,Wednesday,13,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
1492,D4,138,0,2024-07-25 18:50:00+00,2024,7,Thursday ,18,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
1543,E13,304,0,2024-07-30 14:30:00+00,2024,7,Tuesday  ,14,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
1546,D4,627,0,2024-07-30 21:44:00+00,2024,7,Tuesday  ,21,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
1619,D4,141,0,2024-07-26 01:00:00+00,2024,7,Friday   ,1,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
1641,D4,141,0,2024-08-04 16:00:00+00,2024,8,Sunday   ,16,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
1643,C6,214,0,2024-08-04 09:51:00+00,2024,8,Sunday   ,9,W BROADWAY,42.33611150189893,-71.04665481129499,"(42.336111501898934, -71.04665481129499)"
1681,D4,627,0,2024-02-17 12:54:00+00,2024,2,Saturday ,12,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
1692,C11,450,0,2024-02-17 10:24:00+00,2024,2,Saturday ,10,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
1697,D4,143,0,2024-02-17 15:33:00+00,2024,2,Saturday ,15,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
1699,D4,138,0,2024-02-17 19:10:00+00,2024,2,Saturday ,19,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
1786,A1,111,0,2024-02-06 13:02:00+00,2024,2,Tuesday  ,13,WASHINGTON ST,42.352729000406285,-71.062563376214,"(42.352729000406285, -71.062563376214)"
1789,D4,134,0,2024-02-07 14:59:00+00,2024,2,Wednesday,14,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
1880,C11,355,0,2024-02-24 14:56:00+00,2024,2,Saturday ,14,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
1892,A1,,0,2023-05-03 16:04:00+00,2023,5,Wednesday,16,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
1917,C11,452,0,2024-02-26 21:15:00+00,2024,2,Monday   ,21,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
1934,D4,137,0,2023-12-01 12:36:00+00,2023,12,Friday   ,12,NEWBURY ST,42.35059671738375,-71.0788108158712,"(42.350596717383745, -71.0788108158712)"
1952,C11,450,0,2023-12-01 09:10:00+00,2023,12,Friday   ,9,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
1999,B3,428,0,2024-02-16 14:53:00+00,2024,2,Friday   ,14,MORTON ST,42.28187017401512,-71.08751220128951,"(42.28187017401512, -71.08751220128951)"
2022,A7,26,0,2024-02-17 19:00:00+00,2024,2,Saturday ,19,BORDER ST,42.37382704784248,-71.04052495666849,"(42.373827047842475, -71.04052495666849)"
2024,D4,143,0,2024-02-09 17:38:00+00,2024,2,Friday   ,17,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
2030,A1,72,0,2024-02-17 12:48:00+00,2024,2,Saturday ,12,CAMBRIDGE ST,42.361096942433406,-71.0620612580421,"(42.361096942433406, -71.0620612580421)"
2042,A1,118,0,2024-02-17 16:36:00+00,2024,2,Saturday ,16,STUART ST,42.350867504527606,-71.06721420053205,"(42.350867504527606, -71.06721420053205)"
2045,C11,450,0,2024-02-17 11:31:00+00,2024,2,Saturday ,11,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
2067,D14,,0,2023-05-03 19:08:00+00,2023,5,Wednesday,19,CAMBRIDGE ST,42.35393454703682,-71.13652657631967,"(42.35393454703682, -71.13652657631967)"
2074,D4,,0,2023-05-03 14:29:00+00,2023,5,Wednesday,14,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
2121,B3,476,0,2024-02-24 18:51:00+00,2024,2,Saturday ,18,BLUE HILL AVE,42.2699468933332,-71.0938037982284,"(42.2699468933332, -71.0938037982284)"
2143,A1,112,0,2024-02-25 19:00:00+00,2024,2,Sunday   ,19,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
2182,C6,186,0,2024-02-17 08:52:00+00,2024,2,Saturday ,8,ALLSTATE RD,42.328099189441325,-71.0632172846628,"(42.328099189441325, -71.0632172846628)"
2202,D4,143,0,2024-02-09 18:05:00+00,2024,2,Friday   ,18,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
2206,D4,627,0,2024-02-17 15:38:00+00,2024,2,Saturday ,15,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
2207,D4,146,0,2024-02-17 18:34:00+00,2024,2,Saturday ,18,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
2233,D4,146,0,2024-02-27 18:48:00+00,2024,2,Tuesday  ,18,COPLEY PL,42.3480093216636,-71.07669810985298,"(42.348009321663596, -71.07669810985298)"
2255,D4,,0,2023-06-02 19:56:00+00,2023,6,Friday   ,19,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
2261,C11,373,0,2024-02-26 18:29:00+00,2024,2,Monday   ,18,FREEPORT ST,42.292340194692144,-71.04804052529062,"(42.292340194692144, -71.04804052529062)"
2328,C11,378,0,2024-02-07 12:43:00+00,2024,2,Wednesday,12,ADAMS ST,42.287871682196574,-71.05506383299146,"(42.287871682196574, -71.05506383299146)"
2330,D4,138,0,2024-02-07 17:00:00+00,2024,2,Wednesday,17,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
2357,E13,581,0,2024-07-30 00:00:00+00,2024,7,Tuesday  ,0,CENTRE ST,42.32284443353899,-71.1038483952638,"(42.32284443353899, -71.1038483952638)"
2368,A15,900,0,2024-08-01 15:53:00+00,2024,8,Thursday ,15,VINE ST,42.37700185249373,-71.0567891951671,"(42.37700185249373, -71.0567891951671)"
2386,D4,143,0,2024-08-01 16:40:00+00,2024,8,Thursday ,16,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
2388,C11,352,0,2024-08-01 17:59:00+00,2024,8,Thursday ,17,GENEVA AVE,42.300809530190136,-71.0670512540682,"(42.300809530190136, -71.0670512540682)"
2398,C6,186,0,2024-02-02 18:04:00+00,2024,2,Friday   ,18,DISTRICT AVE,,,
2444,C11,355,0,2023-12-28 18:56:00+00,2023,12,Thursday ,18,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
2484,D4,143,0,2023-12-19 18:26:00+00,2023,12,Tuesday  ,18,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
2487,D4,146,0,2023-12-19 19:30:00+00,2023,12,Tuesday  ,19,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
2519,E5,691,0,2024-06-23 20:11:00+00,2024,6,Sunday   ,20,CENTRE ST,42.28709320338153,-71.14822209118665,"(42.28709320338153, -71.14822209118665)"
2520,A1,72,0,2024-06-25 10:55:00+00,2024,6,Tuesday  ,10,CAMBRIDGE ST,42.361096942433406,-71.0620612580421,"(42.361096942433406, -71.0620612580421)"
2534,D4,,0,2023-04-24 15:20:00+00,2023,4,Monday   ,15,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
2547,C11,452,0,2024-06-25 10:58:00+00,2024,6,Tuesday  ,10,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
2568,D4,627,0,2024-02-08 17:32:00+00,2024,2,Thursday ,17,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
2617,D4,,0,2023-08-22 20:25:00+00,2023,8,Tuesday  ,20,WASHINGTON ST,42.33816340852764,-71.07461269356651,"(42.338163408527635, -71.07461269356651)"
2624,D4,,0,2023-08-22 14:36:00+00,2023,8,Tuesday  ,14,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
2640,D4,,0,2023-08-22 18:25:00+00,2023,8,Tuesday  ,18,NEWBURY ST,42.35059671738375,-71.0788108158712,"(42.350596717383745, -71.0788108158712)"
2648,D4,,0,2023-08-22 15:07:00+00,2023,8,Tuesday  ,15,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
2750,A1,118,0,2023-10-14 13:22:00+00,2023,10,Saturday ,13,STUART ST,42.350867504527606,-71.06721420053205,"(42.350867504527606, -71.06721420053205)"
2773,D4,143,0,2023-09-23 11:23:00+00,2023,9,Saturday ,11,HUNTINGTON AVE,42.34749853876142,-71.07925557290004,"(42.34749853876142, -71.07925557290004)"
2801,A1,120,0,2023-09-23 09:33:00+00,2023,9,Saturday ,9,PARK PLZ,42.35162742682775,-71.06866458095081,"(42.35162742682775, -71.06866458095081)"
2835,B2,318,0,2023-09-24 17:13:00+00,2023,9,Sunday   ,17,SEAVER ST,42.30878811870177,-71.09055681144949,"(42.30878811870177, -71.09055681144949)"
2868,D4,143,0,2023-10-11 14:48:00+00,2023,10,Wednesday,14,HUNTINGTON AVE,42.34749853876142,-71.07925557290004,"(42.34749853876142, -71.07925557290004)"
2904,D4,146,0,2023-10-06 17:15:00+00,2023,10,Friday   ,17,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
2917,A1,93,0,2023-10-11 12:09:00+00,2023,10,Wednesday,12,NORTH ST,42.36045047253847,-71.0564406191821,"(42.36045047253847, -71.0564406191821)"
2933,A7,12,0,2023-10-15 02:34:00+00,2023,10,Sunday   ,2,BOARDMAN ST,42.39001071534092,-71.01170340612633,"(42.39001071534092, -71.01170340612633)"
2947,D4,,0,2023-10-14 15:11:00+00,2023,10,Saturday ,15,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
2987,A1,112,0,2023-02-18 17:22:00+00,2023,2,Saturday ,17,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
3006,C6,186,0,2023-10-14 16:23:00+00,2023,10,Saturday ,16,ALLSTATE RD,42.326965998839725,-71.06198658978266,"(42.326965998839725, -71.06198658978266)"
3013,C11,450,0,2023-12-15 12:50:00+00,2023,12,Friday   ,12,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
3047,A1,105,0,2023-09-23 07:32:00+00,2023,9,Saturday ,7,WASHINGTON ST,42.35591887106224,-71.0600058446897,"(42.35591887106224, -71.0600058446897)"
3067,D4,146,0,2023-09-23 19:07:00+00,2023,9,Saturday ,19,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
3073,A7,26,0,2023-09-23 14:27:00+00,2023,9,Saturday ,14,BORDER ST,42.37620216335869,-71.03979962591616,"(42.376202163358684, -71.03979962591616)"
3084,C11,356,0,2023-09-23 14:31:00+00,2023,9,Saturday ,14,GENEVA AVE,42.29848819292919,-71.06313353185703,"(42.29848819292919, -71.06313353185703)"
3103,B2,318,0,2023-09-24 20:55:00+00,2023,9,Sunday   ,20,SEAVER ST,42.30878811870177,-71.09055681144949,"(42.30878811870177, -71.09055681144949)"
3132,E5,562,0,2023-12-15 10:19:00+00,2023,12,Friday   ,10,WASHINGTON ST,42.28788894494422,-71.12658660943728,"(42.28788894494422, -71.12658660943728)"
3134,D4,143,0,2023-12-15 17:48:00+00,2023,12,Friday   ,17,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
3197,D4,,0,2023-02-19 14:44:00+00,2023,2,Sunday   ,14,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
3203,A1,,0,2023-02-19 13:03:00+00,2023,2,Sunday   ,13,NORTH ST,42.36045047253847,-71.0564406191821,"(42.36045047253847, -71.0564406191821)"
3205,D4,,0,2023-02-18 18:59:00+00,2023,2,Saturday ,18,MASSACHUSETTS AVE,42.3486739367189,-71.08841919710443,"(42.3486739367189, -71.08841919710443)"
3241,A1,105,0,2023-10-10 13:09:00+00,2023,10,Tuesday  ,13,SUMMER ST,42.35521577101499,-71.06012909140631,"(42.35521577101499, -71.06012909140631)"
3271,E13,304,0,2023-10-11 12:27:00+00,2023,10,Wednesday,12,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
3276,C6,206,0,2023-10-11 00:00:00+00,2023,10,Wednesday,0,SEAPORT BLVD,42.35196401812037,-71.04611334347733,"(42.35196401812037, -71.04611334347733)"
3278,A1,112,0,2023-10-11 11:15:00+00,2023,10,Wednesday,11,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
3331,E13,,0,2023-02-18 22:40:00+00,2023,2,Saturday ,22,"CENTRE ST & ROSEWAY ST
JAMAICA PLAIN, MA 02130
UNI",42.31909157877556,-71.11194568935024,"(42.319091578775556, -71.11194568935024)"
3336,D4,133,0,2023-02-18 16:30:00+00,2023,2,Saturday ,16,NEWBURY ST,42.351761332162205,-71.07452217168813,"(42.351761332162205, -71.07452217168813)"
3356,D4,627,0,2023-11-30 18:37:00+00,2023,11,Thursday ,18,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
3371,D4,146,0,2023-12-01 18:55:00+00,2023,12,Friday   ,18,COPLEY PL,42.3480093216636,-71.07669810985298,"(42.348009321663596, -71.07669810985298)"
3393,D4,146,0,2024-07-10 12:59:00+00,2024,7,Wednesday,12,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
3471,C11,405,0,2023-12-01 04:38:00+00,2023,12,Friday   ,4,DORCHESTER AVE,42.27357674474239,-71.0677049586352,"(42.27357674474239, -71.0677049586352)"
3479,E13,304,0,2023-12-01 12:26:00+00,2023,12,Friday   ,12,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
3488,D4,,0,2023-02-18 07:36:00+00,2023,2,Saturday ,7,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
3530,E13,,0,2023-08-22 17:05:00+00,2023,8,Tuesday  ,17,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
3563,C11,452,0,2024-07-12 09:53:00+00,2024,7,Friday   ,9,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
3564,A1,93,0,2024-07-12 11:47:00+00,2024,7,Friday   ,11,NORTH ST,42.36045047253847,-71.0564406191821,"(42.36045047253847, -71.0564406191821)"
3609,D4,141,0,2023-09-22 14:44:00+00,2023,9,Friday   ,14,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
3652,E18,496,0,2023-11-27 13:50:00+00,2023,11,Monday   ,13,HYDE PARK AVE,42.26701046863793,-71.12096250389341,"(42.26701046863793, -71.12096250389341)"
3695,D4,137,0,2023-11-30 17:27:00+00,2023,11,Thursday ,17,NEWBURY ST,42.35059671738375,-71.0788108158712,"(42.350596717383745, -71.0788108158712)"
3718,D4,143,0,2023-11-27 11:54:00+00,2023,11,Monday   ,11,RING RD,42.34813113277459,-71.08027053338732,"(42.34813113277459, -71.08027053338732)"
3730,B2,603,0,2023-11-27 10:41:00+00,2023,11,Monday   ,10,TREMONT ST,42.33380641504081,-71.10377903286623,"(42.33380641504081, -71.10377903286623)"
3776,E5,562,0,2023-11-27 20:40:00+00,2023,11,Monday   ,20,WASHINGTON ST,42.28788894494422,-71.12658660943728,"(42.28788894494422, -71.12658660943728)"
3778,A7,26,0,2023-11-27 20:28:00+00,2023,11,Monday   ,20,BORDER ST,42.37620216335869,-71.03979962591616,"(42.376202163358684, -71.03979962591616)"
3829,D4,146,0,2023-09-22 16:50:00+00,2023,9,Friday   ,16,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
3919,D4,,0,2023-08-21 15:32:00+00,2023,8,Monday   ,15,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
3925,D4,,0,2023-08-21 16:16:00+00,2023,8,Monday   ,16,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
4022,A1,,0,2023-08-20 13:41:00+00,2023,8,Sunday   ,13,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
4033,D4,146,0,2023-12-01 12:56:00+00,2023,12,Friday   ,12,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
4042,A1,94,0,2023-12-01 13:25:00+00,2023,12,Friday   ,13,FANEUIL HALL MARKETPLACE,42.35997918764957,-71.05474177952242,"(42.359979187649564, -71.05474177952242)"
4056,D4,,0,2023-08-07 11:24:00+00,2023,8,Monday   ,11,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
4188,D4,,0,2023-08-21 18:27:00+00,2023,8,Monday   ,18,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
4243,B2,,0,2023-08-22 08:02:00+00,2023,8,Tuesday  ,8,DUDLEY ST,42.32853484068592,-71.0821393030554,"(42.32853484068592, -71.0821393030554)"
4251,D4,,0,2023-08-22 14:56:00+00,2023,8,Tuesday  ,14,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
4286,D4,137,0,2024-07-11 11:52:00+00,2024,7,Thursday ,11,NEWBURY ST,42.35059671738375,-71.0788108158712,"(42.350596717383745, -71.0788108158712)"
4326,A1,111,0,2024-07-13 12:49:00+00,2024,7,Saturday ,12,TREMONT ST,42.35594191306203,-71.06258379228247,"(42.35594191306203, -71.06258379228247)"
4330,E5,723,0,2024-07-13 17:35:00+00,2024,7,Saturday ,17,VFW PKWY,42.26623703818624,-71.16843435601257,"(42.26623703818624, -71.16843435601257)"
4339,E13,304,0,2024-07-12 11:03:00+00,2024,7,Friday   ,11,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
4366,C11,373,0,2024-07-12 12:00:00+00,2024,7,Friday   ,12,FREEPORT ST,42.292340194692144,-71.04804052529062,"(42.292340194692144, -71.04804052529062)"
4417,C11,355,0,2023-11-30 08:00:00+00,2023,11,Thursday ,8,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
4495,D4,146,0,2023-11-27 16:25:00+00,2023,11,Monday   ,16,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
4496,A1,104,0,2023-11-27 11:16:00+00,2023,11,Monday   ,11,WASHINGTON ST,42.35648582614597,-71.05928190137298,"(42.35648582614597, -71.05928190137298)"
4565,D14,768,0,2023-11-28 19:51:00+00,2023,11,Tuesday  ,19,MARKET ST,42.35524865013419,-71.14966880287777,"(42.35524865013419, -71.14966880287777)"
4575,D4,,0,2023-05-31 11:46:00+00,2023,5,Wednesday,11,HARRISON AVE,42.34496681296949,-71.06382272667581,"(42.34496681296949, -71.06382272667581)"
4588,A1,77,0,2023-05-30 20:20:00+00,2023,5,Tuesday  ,20,SUDBURY ST,,,
4594,D4,626,0,2023-06-01 05:02:00+00,2023,6,Thursday ,5,JERSEY ST,42.34241856624551,-71.09678363069114,"(42.342418566245506, -71.09678363069114)"
4633,A1,,0,2023-05-03 12:38:00+00,2023,5,Wednesday,12,CAUSEWAY ST,42.36497502467358,-71.06204443964049,"(42.36497502467358, -71.06204443964049)"
4649,E18,,0,2023-08-20 12:12:00+00,2023,8,Sunday   ,12,TRUMAN PKWY,42.24124892522304,-71.12629992589298,"(42.24124892522304, -71.12629992589298)"
