,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
49832,A1,112,0,2024-03-30 15:21:00+00,2024,3,Saturday ,15,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
49858,C11,405,0,2024-03-15 15:36:00+00,2024,3,Friday   ,15,DORCHESTER AVE,42.27357674474239,-71.0677049586352,"(42.27357674474239, -71.0677049586352)"
49876,D4,138,0,2024-03-18 17:15:00+00,2024,3,Monday   ,17,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
49877,C6,186,0,2024-03-18 18:18:00+00,2024,3,Monday   ,18,ALLSTATE ROAD,,,
49890,B2,593,0,2024-03-18 15:08:00+00,2024,3,Monday   ,15,LONGWOOD AVE,42.33856958607009,-71.1067074086278,"(42.33856958607009, -71.1067074086278)"
49913,D4,133,0,2023-09-12 11:29:00+00,2023,9,Tuesday  ,11,NEWBURY ST,42.351761332162205,-71.07452217168813,"(42.351761332162205, -71.07452217168813)"
49973,D14,,0,2023-08-03 14:16:00+00,2023,8,Thursday ,14,HARVARD AVE,42.34966712874339,-71.13048740468365,"(42.34966712874339, -71.13048740468365)"
49986,C11,,0,2023-07-31 14:56:00+00,2023,7,Monday   ,14,COLUMBIA RD,42.30889316220174,-71.07410532675802,"(42.30889316220174, -71.07410532675802)"
49993,A7,28,0,2023-07-31 11:14:00+00,2023,7,Monday   ,11,CENTRAL SQ,42.37421052890368,-71.03918521307645,"(42.37421052890368, -71.03918521307645)"
50040,B2,239,0,2023-08-29 09:00:00+00,2023,8,Tuesday  ,9,DUDLEY ST,42.31735425056758,-71.06583025569181,"(42.31735425056758, -71.06583025569181)"
50044,D4,162,0,2023-08-29 16:40:00+00,2023,8,Tuesday  ,16,E BERKELEY ST,42.34322769151447,-71.06343135764426,"(42.34322769151447, -71.06343135764426)"
50115,C11,450,0,2023-07-31 13:55:00+00,2023,7,Monday   ,13,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
50117,D4,,0,2023-08-02 14:44:00+00,2023,8,Wednesday,14,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
50128,D4,138,0,2024-03-24 17:03:00+00,2024,3,Sunday   ,17,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
